Discovered 1223 test files (0 tests) under ['tests']; running with -j 64
[  0.0% |     0/0 | ✓3319 | ✗   1] ✓ tests/argo_cli/test_doctor_dedicated_provider_skip.py (2✓, 3.4s)
[  0.0% |     0/0 | ✓3326 | ✗   1] ✓ tests/argo_cli/test_determine_api_mode_hostname.py (7✓, 4.0s)
[  0.0% |     0/0 | ✓3408 | ✗   1] ✓ tests/agent/test_redact.py (82✓, 21.4s)
[  0.0% |     0/0 | ✓3454 | ✗   1] ✓ tests/argo_cli/test_auth_commands.py (46✓, 13.7s)
[  0.0% |     0/0 | ✓3572 | ✗   1] ✓ tests/agent/test_bedrock_adapter.py (118✓, 29.8s)
[  0.0% |     0/0 | ✓3583 | ✗   1] ✓ tests/argo_cli/test_dashboard_auth_ws_tickets.py (11✓, 5.4s)
[  0.0% |     0/0 | ✓3588 | ✗   1] ✓ tests/argo_cli/test_destructive_slash_confirm_gate.py (5✓, 4.7s)
[  0.0% |     0/0 | ✓3690 | ✗   1] ✓ tests/agent/test_model_metadata.py (102✓, 23.4s)
[  0.0% |     0/0 | ✓3691 | ✗   1] ✓ tests/argo_cli/test_gateway_runtime_health.py (1✓, 2.6s)
[  0.0% |     0/0 | ✓3705 | ✗   1] ✓ tests/argo_cli/test_dep_ensure.py (14✓, 5.7s)
[  0.0% |     0/0 | ✓3753 | ✗   1] ✓ tests/argo_cli/test_claw.py (48✓, 12.7s)
